name,salary,years_experience
Kaya Bartoletti,56551.2219993,1
Jaqueline Grimes,54330.8094831,0
Kade Cremin,52578.4206484,1
Rusty Emmerich,43104.0388494,5
Jadyn Mills,41316.0591626,5
Celia Bins,18061.2709418,7
Kaylie Runolfsdottir,54908.8585879,3
Theresa Collins,35888.7886904,2
Alexane Haley,54042.7997693,1
Abbey Ziemann,42864.5023151,2
Brandy Kassulke,48697.6320671,4
Francis Robel,70109.2045552,7
Aracely Powlowski,52086.288745,5
Ebba Eichmann,34531.8632347,1
Mylene Veum,27433.4058041,3
Tobin McKenzie,70505.3630575,2
Maryse Reynolds,38528.805578,4
Dedric O'Hara,49379.6927791,2
Brianne O'Keefe,47317.6803137,2
Geovanni Rolfson,57487.7877955,1
Monroe Abbott,50915.2709179,6
Quinn Yundt,54822.6484782,3
Karen Stamm,36016.0722705,2
Erich Shanahan,51157.0370399,1
Lavinia Schmitt,57138.8998111,6
Elisabeth Cronin,61660.6555209,1
Michael Rippin,96117.9215449,2
Braeden Doyle,25123.3136526,4
Beverly Corwin,48528.1856306,4
Burnice Collier,48187.9435783,2
Leilani Langworth,63123.1228606,4
Benedict Spinka,59016.5570664,1
Brayan Reinger,70533.6394162,4
Rodrigo Schulist,76732.8632615,2
Mayra Gleason,72661.5777432,4
Effie Gutmann,38765.1645064,5
Allene Grant,75676.7305347,7
Melyna Nolan,40303.9267902,4
Ashleigh Kuvalis,64906.423964,0
Lourdes Wisozk,29157.2426003,1
Raquel Abbott,85302.7090241,2
Miller Upton,48400.8636497,5
Zachariah Bechtelar,44167.9182797,6
Stanley Wilderman,15211.9469803,3
Johathan Auer,68599.9746911,4
Buster Hane,39913.3219286,3
Araceli Haag,61495.2982297,1
Eladio Stroman,60948.6869088,2
Dulce Schaden,65141.039643,4
Abagail Dare,79467.7113844,1
Viva Schulist,27625.2774178,3
Shyanne Prohaska,76177.545473,6
Monty Schoen,47192.0829711,6
Alize Greenfelder,64157.9095829,2
Domenico Boyer,48832.8385212,2
Virgil Murazik,61650.8430746,5
Earline Olson,81068.188617,3
Ava Pacocha,57458.4111877,5
Terrill Lebsack,90257.3424521,3
Gladys Borer,49918.0861677,3
Maybelle Schiller,55592.1202443,5
Chad Casper,71869.5334955,2
Bettye Cummings,49691.4950867,4
Camren Koepp,50630.7629786,2
Ibrahim McGlynn,55636.4927595,4
Sydnie Lowe,63386.2594805,2
Santina Kirlin,56615.1079695,0
Amir Rutherford,81668.6241908,1
Ladarius Macejkovic,96250.3535038,4
Else Dibbert,25843.7705982,3
Amira Spencer,64772.9938145,5
Verda McDermott,37236.9087113,2
Beverly Pouros,55122.1943182,5
Hope Block,82766.4399584,2
Alysson Swaniawski,72941.5362378,4
Tamara Ritchie,72258.1585397,6
Maymie Graham,75051.4755557,3
Emory Kautzer,13567.3146964,4
Jayde Wisoky,30705.9487768,4
Liza Streich,53887.9917599,5
Holden Halvorson,43460.0449668,3
Zack Hahn,67780.8612956,1
Kaela Mertz,29883.7808517,5
Laurence Auer,62452.7055393,4
Wava Romaguera,42299.12975,1
Annalise Nienow,37171.9290729,6
Jamaal Osinski,102777.704853,10
Favian Cormier,62214.0293602,2
Emmanuelle Wisozk,83038.3061927,2
Palma Gleichner,63037.0416836,1
Allan Huels,52675.1111575,1
Ressie Denesik,65460.7917278,5
Frances Connelly,53491.6992902,0
Verner Bechtelar,50767.2936502,4
Arno Torp,55446.2460772,5
Dovie Auer,83561.5689983,6
Dawson Schuppe,31254.0848553,3
Akeem Pfannerstill,26974.3379311,2
Brisa Rath,39760.054135,3
Riley Murray,67657.0857155,2
Kelli Zemlak,62647.1557385,3
Sammy Turner,22376.6015714,4
Bettie Witting,43079.3634655,3
Breana Gottlieb,41255.6678519,0
Claire O'Hara,44957.4120028,1
Margaret Bartell,73767.4286578,3
Donato Mueller,35177.4645238,1
Roger Will,23244.9990011,7
Turner Stamm,58009.5643731,0
Simone Bogisich,59746.1697979,8
Helena Kunde,57660.4319673,2
Salma Parisian,34893.4533783,4
Abdul Crooks,38581.7791509,3
Brady Prosacco,69281.324534,1
Lance Crooks,66157.1963212,4
Emie Hansen,75140.5711447,2
Torrance Marquardt,49592.0750131,3
Myrna Barton,53852.4403867,4
Morris Thiel,40272.1841174,3
Christ Cummings,50584.7817435,1
Felix Spencer,65195.6583774,1
Nyasia Prosacco,42516.2031375,3
Rebeca Runolfsdottir,35575.309929,2
Jasmin Doyle,39344.8930806,4
Odessa Eichmann,35883.0683909,0
Felicity Terry,80690.8972961,5
Juwan Goldner,86368.5774278,5
Delta Bergnaum,22497.3523891,4
Jordane Bauch,44507.9267805,4
Rachelle Hickle,71558.2875989,4
Domenica McCullough,33919.5243287,3
Joany Schmeler,52247.0063107,5
Jesse Kihn,98969.5458715,3
Rosa Boyle,75249.1873798,3
Fabian Quigley,36589.8066804,1
Jeff Cole,40092.7918595,3
Hoyt Hammes,21758.3947616,2
Armand Bergnaum,43444.8033573,4
Santos Windler,84666.8921087,2
George Heaney,41012.5219496,3
Iva Hyatt,65464.5208681,3
Dee Dicki,39047.4694921,2
Maymie Turcotte,52554.962297,2
Lorena Stokes,84676.7498974,1
Vickie Ruecker,93560.8079472,3
Caesar Orn,51903.7641772,3
Lottie Kertzmann,85636.6386421,4
Yasmeen Beer,65295.6804392,3
Adelia Marvin,52814.3009121,3
Verda Littel,40857.3045674,2
Corrine Schaefer,41841.9233066,3
Maggie Stanton,101503.791074,2
Liza Gerlach,64949.4111548,2
Bennett Collier,57649.9166418,7
Prudence Prosacco,65861.0022298,4
Gage Batz,81165.955666,3
Alexandre Fisher,37726.9889081,2
Danny Wuckert,51862.5572438,5
Stefanie Yundt,93712.76831,6
Lilyan Fahey,25232.611835,4
Jabari Goodwin,79509.9485139,1
Krista Oberbrunner,69257.2126147,1
Lazaro Lockman,46223.4354931,4
Hortense Heller,87633.5624628,2
Ali Blanda,65857.658962,7
Albin Hills,48919.0493006,1
Tracy Effertz,77682.2302096,2
Alvera Walker,40342.365073,3
Chase Wiegand,47616.2617248,1
Daryl Bauch,36173.9757698,1
Adam Cormier,98598.0712304,3
Sabryna Goldner,53809.7980222,2
Eladio Keeling,49382.2550942,3
Viviane Schmitt,32334.2346656,1
Charity Cronin,22178.1860188,3
Abbie Ratke,71107.0897093,3
Savanah Ward,26132.5047283,0
Alessandro Nienow,71192.3867725,4
Charity McGlynn,45803.3920976,3
Roselyn Olson,40079.7350698,2
Coleman Gulgowski,51661.492683,1
Santino Kuphal,51094.1029371,4
Ashlynn Monahan,62748.8998126,4
Regan Will,23804.5110248,2
Keagan Howell,38643.6406745,2
Vallie Connelly,55834.1227218,1
Kevin Effertz,94559.6834349,3
Clare Hartmann,45341.3843308,2
Martine Osinski,41031.0467315,1
Joshuah D'Amore,65881.5617719,2
Katrine Murray,56738.1386097,0
Cody Kuhic,47591.6993343,2
Johann Carter,76382.7862949,2
Hershel Brekke,77345.0902184,1
Aniyah Bradtke,25022.8803034,3
Donald Wehner,44558.6666529,3
Rupert Swaniawski,40055.3081494,3
Jo Mraz,108160.221885,3
Sheila Rippin,50123.6227348,5
Maryse Corkery,55415.4347286,2
May Pacocha,61543.5873083,4
Stephania Kertzmann,62453.9348373,5
Ludie McClure,65998.0954961,3
Imogene Moen,55539.2410698,3
Katlynn Fadel,68039.8455545,5
Keely Boehm,55136.6659478,4
Andrew Yost,15631.4310394,6
Jadon Effertz,68204.3802522,1
Elena Quigley,7526.41829587,1
Emil Harber,77693.0664998,2
Keshawn Wintheiser,42803.0504427,1
Leopoldo Schiller,53376.4613798,4
Maximus Turcotte,103388.52381,2
Curtis Mosciski,50771.4787489,4
Elroy Walker,90354.3351804,5
Octavia Bernhard,46888.8862275,7
Berta Franecki,103361.884664,3
Forrest Braun,50230.9025901,3
Odessa Hilll,74989.8373249,4
Antone Ledner,89442.3108609,2
Moriah Cremin,72872.4865,4
Stacy Hamill,86809.2162338,2
Kavon Shanahan,49352.5784537,7
Neal Wilkinson,75561.2059893,2
Oda Armstrong,27235.1788671,3
Haskell Green,84854.5701928,2
Kenyon Schamberger,82235.564232,2
Jasmin Rempel,65423.7614938,4
Frances Johnson,37657.9962096,3
Jovanny Boehm,53610.15538,7
Catharine Haley,65597.6677322,3
Emma Ernser,43045.4285372,1
Dennis Kerluke,89010.8872268,5
Emmie Dicki,47206.620914,7
Sandrine Pollich,42606.6934355,1
Lenore Sanford,42037.2979716,5
Milan Morar,26731.7993659,3
Demond Glover,99511.4613716,5
Sidney Ortiz,29804.1866684,1
Daniela Ruecker,77948.7775501,2
Rasheed Blanda,59399.7902051,3
Erick Hansen,33990.4995468,2
Nicola Runte,22905.8616437,4
Lacy Leffler,76740.2050187,4
Jade Kuhn,67088.8265835,4
Nils Adams,77016.8765357,5
Orval Swaniawski,20608.5911092,3
Cecil O'Conner,66809.6150343,2
Jillian Jacobson,79541.310039,4
Jared Bergnaum,93776.0812355,5
Ivah Frami,24262.2237197,2
Lola Lakin,91696.8714939,1
Omari Conn,48590.5946598,2
Uriel Padberg,57944.6591315,4
Hal Cole,39711.9510582,3
Keshawn Jenkins,52233.4635699,2
Jazmyne Douglas,53761.0328126,5
Tomasa Durgan,68269.2029308,1
Ricardo Schuppe,50805.482304,1
Lamont Jast,31577.2319849,6
Camden Hermiston,61350.5101501,5
Howard Upton,63418.6866693,3
Dewitt Ullrich,33049.325286,5
Andres Armstrong,78696.1002433,4
Ona Hodkiewicz,82455.4696635,8
Abigayle Dibbert,45638.9772951,5
Rae Mayer,48520.2246186,2
Alexanne Rowe,41166.9355141,2
Lorenz Schumm,59881.7099544,4
Imani Block,42907.5206857,1
Carolanne Keebler,73025.208262,3
Jonathan Moore,50742.404109,4
Brennon Runolfsson,62548.3482109,4
Santino Lowe,26708.1872664,7
Neil Jenkins,28890.882783,7
Jacquelyn Braun,77111.1243515,3
Anderson Pfeffer,48838.3938998,1
Freeman Kuphal,45394.3367551,5
Kevin Hackett,105779.992362,1
Darlene Morissette,45173.2768078,1
Hazle Pagac,42577.2193139,5
Velma Hilpert,61149.5580599,0
Diego Harvey,44316.4851819,2
Donnell Rippin,65498.8512318,2
Marshall Botsford,33544.6321096,2
Liza Miller,82775.6627015,1
Dino Block,35531.9467962,0
Celia Gibson,51928.7407617,4
Oren Becker,90983.9495183,6
Angie Williamson,67504.2156081,4
Maryse Jacobi,56048.3702282,3
Jason Metz,30868.5282307,4
Lue Bayer,44292.6286217,4
Jane Runolfsdottir,60052.4063216,3
Lauriane Littel,44237.9721246,2
Earl Klein,39489.9530819,3
Susie Runte,51454.7926801,1
Geo Kilback,48048.2588041,3
Tyson Schmeler,35414.5876594,3
Jordyn Jerde,72052.3274772,3
Carmelo Muller,77440.2104381,6
Crystal Flatley,68660.2036017,5
Candice Ondricka,43168.4806057,2
Dexter Larson,35279.4040475,2
Joanie Connelly,52433.7123707,3
Luz Bashirian,86566.8674259,4
Tod Bruen,30300.8008505,2
Carmela Nienow,24966.7891618,2
Brendon Boyle,26833.1750418,1
Bella Mosciski,41723.2141316,2
Marietta Hudson,64437.4654892,2
Brett Spencer,85966.4300704,3
Hannah Spencer,71774.7271347,3
Florida Oberbrunner,70382.1320291,3
Laney Strosin,66522.5643393,3
Clarissa Christiansen,39286.1591777,3
Ricardo O'Conner,44454.1932394,5
Milton Kuhlman,33263.2105083,0
Dustin Marquardt,37848.9883613,2
Gail Fahey,26721.476435,2
Austyn Witting,102041.552658,4
Casandra Rempel,38694.6615551,1
Mabelle Bernier,37739.5059476,6
Bradley Pfeffer,58227.2759188,7
Roslyn Goodwin,40757.0700296,3
Rudy Durgan,49523.6949211,0
Darrion Kshlerin,42112.2453926,4
Clifford Price,90921.2104929,2
Kaela Schroeder,13548.4004424,2
Catharine Turcotte,24707.5113824,1
Americo Wyman,41709.2699376,2
Juvenal Walter,29940.4405338,0
Connie Renner,57888.2250923,7
Chaz Wehner,47785.7028703,5
Abel Jerde,64115.5872145,5
Name Howell,49051.7800975,2
Otilia Larkin,31412.7577976,4
Tomas Deckow,30874.5467577,2
Cyril Bins,54392.148123,3
Horacio Bergnaum,59927.3739865,4
Stella Lowe,67449.0170979,4
Edna Harris,55142.9854922,3
Ricardo Mitchell,60003.9459553,5
Leonora Haley,72269.9293547,5
Juwan Quigley,68439.3674992,3
Halle Sanford,25338.5639437,3
Grayce Strosin,22547.4164439,2
Colton Hickle,61915.0900871,3
Terrell Metz,48966.1985287,4
Richard Rowe,48270.7134693,2
Virginie Schumm,53271.6905652,1
Alda Champlin,66634.7688785,5
Jaren Goodwin,82275.8184214,7
Mackenzie Hintz,51289.9564512,3
Destany Okuneva,77564.7549825,6
Karolann Walsh,52465.3470288,5
Brandi Beatty,63759.7541232,1
Vivienne Fay,73638.3519001,3
Coby Hintz,22704.842814,2
Jaunita Windler,20194.116281,4
Blaise Will,56433.9094344,4
Cyril Mayer,46959.2694816,3
Braden Gulgowski,52180.9985053,3
August Hagenes,68949.7506893,5
Elvis Kozey,16402.2621233,3
Julien Sporer,38738.9412025,2
Roman Cummings,63785.5642488,4
Okey Glover,47792.3745176,3
Sid Swift,40860.8207413,3
Calista Frami,71662.6248936,3
Oran Legros,59528.3356229,3
Dayton Rowe,48702.0243434,7
Erna Bashirian,60596.9234424,1
Heather Rau,75505.5261235,3
Titus Roob,98274.8090136,3
Michele Greenfelder,55783.3702054,5
Eli Stracke,84259.2271043,2
Lela Reinger,60304.802134,6
Caroline Farrell,80292.0565425,2
Magali Keeling,66206.2326239,4
Deshaun Fahey,40160.5351918,1
Devan Ullrich,54895.1080134,2
Dangelo Jakubowski,76328.1579743,1
Greyson Reinger,75097.3920373,1
Jessika Purdy,32107.9120148,2
Luciano Moen,72041.4174714,3
Lennie Green,89500.0537813,4
Lilly Kunze,65245.8805095,2
Werner Macejkovic,49518.7391503,4
Wilford Maggio,70797.4310389,3
Casimer Powlowski,36463.3703961,3
Melyna Fahey,31265.5924012,0
Roselyn Bahringer,26611.902003,4
Nettie Conn,67525.5152517,1
Vivianne Kertzmann,73775.0058461,3
Bud Bahringer,52451.2172102,4
Manuela McClure,62307.4857633,2
Susana Veum,70432.5135491,2
Donald Herman,90356.4201146,1
Kali Conroy,72998.3741911,3
Milton Lehner,43940.7075744,0
Taryn Koch,82528.3421326,4
Tomasa Glover,53800.6015141,3
Corene Nitzsche,42895.9661415,3
Kelsie Auer,20310.6088511,6
Dante Robel,73731.646216,1
Doris Krajcik,29099.1157822,3
Yolanda Gibson,72661.2146862,1
Emory Borer,79635.6069757,3
Aimee Murray,98994.0989233,6
Tamia Waters,46968.4356466,2
Justina Breitenberg,41649.1850782,5
Buster Ruecker,71509.2278553,3
Joaquin Langosh,58928.1773198,2
Ramon Hagenes,14547.5500832,4
Bobby Goldner,63385.3705488,7
Annabelle Pfeffer,50917.0401078,6
Sterling Ankunding,67200.6614705,1
Angelita Barton,68354.7338329,2
Benny Treutel,41725.1142743,5
Kyle Price,70933.9146634,2
Genevieve Willms,34020.8057169,6
Joy Glover,51651.7426315,1
Matilda Raynor,20750.9368342,2
Devon Johns,79970.1527424,6
Magdalen Willms,43881.6354192,6
Darlene Rolfson,71094.3503417,1
Mac Trantow,48807.4431451,4
Meagan Leffler,21582.3439375,1
Ellsworth Abernathy,50816.9450551,2
Jazmyn D'Amore,20817.0155392,5
German Sawayn,67575.504303,5
Joey Bode,45762.7864609,4
Kaylin Kub,57711.2077093,3
Clay Windler,73126.372923,8
Candelario Yundt,48050.5774661,3
Jose Ledner,88020.6200608,6
Wilhelmine Kerluke,58424.4000872,4
Teresa Kessler,50741.5582403,4
Jerrod Lubowitz,32556.3844758,0
Zoey White,55033.2440301,6
Richmond Ruecker,21937.7534344,3
Lacey Ebert,80376.9546295,2
Shemar Rogahn,53511.687074,4
Bart McCullough,65164.2011841,2
Dannie Nolan,120442.98544,1
Alisha Kautzer,50197.4539435,1
Adelle Schumm,62308.0399142,6
Reanna Cummings,35787.4409387,4
Savanah Abshire,91840.597919,1
Ladarius Waters,36021.6485723,1
Fay Kassulke,52497.037976,4
Aliyah Renner,65200.3941919,2
Ruthie Daugherty,732.432266918,3
Rickie Orn,56119.1110469,2
Conner Schmitt,70933.3753328,3
Derrick Stoltenberg,33849.3410707,3
Rick O'Kon,39496.6677398,3
Davin Bayer,22703.8322172,2
Joanny Fadel,62449.4007109,2
Alexandra Klocko,67714.682876,4
Heather Bailey,74719.6703645,3
Andre Dicki,57198.4954116,8
Ethel Eichmann,37550.3890736,1
Malinda Mueller,48541.3843977,1
Joshua Barton,11027.336249,0
Mae Wilkinson,59742.9588095,3
Newell Borer,32881.8337803,6
Isom Franecki,40373.9268043,5
Kimberly Stoltenberg,54172.7621051,5
Marisol Aufderhar,75469.3096496,7
Rodrick Jakubowski,53071.8146963,4
Jazmyn Heidenreich,78184.0186321,1
Paula Collier,40906.1901608,2
Jonatan Langworth,96694.7627168,2
Katheryn O'Connell,56941.3849093,1
Miles Witting,76256.7832299,4
Ramon Hettinger,104192.17145,4
Verona Monahan,35136.4291904,4
Gladyce Farrell,41274.4217698,2
Nicolas Terry,46790.5348868,1
Frederick Spencer,27103.9699317,1
Lesly Baumbach,43761.203698,3
Julie Williamson,60576.957619,1
Elouise Dibbert,65350.2064636,4
Torey Grady,39038.0440697,2
Dudley Kirlin,104846.85251,4
Dena Rau,92071.7194422,1
Lauryn Roob,55194.5852429,2
Carlee O'Keefe,23628.9209609,1
Darrell Mraz,76397.1749108,6
Zander Buckridge,52434.6535687,2
Alexis Leuschke,33707.2212601,5
Justine Kunde,85080.6797623,1
Sage Kub,100058.396789,1
Fabiola Block,19560.632029,2
Christ Altenwerth,19961.5151816,1
Reta Homenick,77233.8773457,2
Teagan Gerlach,63826.9087501,3
Henry Casper,50700.092335,2
Rocio Jenkins,57916.0362025,3
Melyna Crooks,69484.2179356,4
Reinhold Franecki,64422.9146407,4
Peter Keeling,61034.2740339,1
Vivien Wisoky,88455.9542725,0
Sylvan Bashirian,57098.1462157,2
Cleo Pagac,11221.1523487,6
Rahsaan Gibson,38076.6184572,4
Sarah Kuphal,61974.5784507,1
Toney Reinger,65626.445263,3
Jovani Swaniawski,49983.3721763,3
Hanna Wiegand,75629.0393177,3
Angelina Strosin,69854.8943977,1
Cyril Mills,35267.637267,2
Charlie Cartwright,61467.833454,1
Torey Emard,105738.990648,2
Leann Cummerata,40660.0357594,3
May Reichel,32700.4547277,1
Broderick Hettinger,54194.1710343,2
Enoch Blanda,33158.1360496,4
Troy Berge,70834.4547956,6
Shemar Stokes,53388.80221,1
Ford Anderson,61705.1173887,0
Elijah Ankunding,58331.249613,4
Peyton Johnston,82051.2535879,5
Jaida Bartoletti,24823.1557101,2
Jarrett Jones,62352.3742995,4
Lyric Huels,46181.2003659,3
Marquise Kuhic,29098.6357766,3
Hassie Lubowitz,79535.0857917,3
Theresa Koelpin,69250.7334161,3
Uriel Lueilwitz,34516.3469428,2
Keanu Jacobson,27650.60013,1
Rahsaan Wiza,72457.5776838,3
Billie Ruecker,35609.3657357,4
Isadore Fritsch,43262.2982388,0
Emiliano Spinka,47280.6070834,4
Forrest Considine,74728.0121967,0
Cathrine Toy,45325.4434486,6
Judah Hermiston,38528.4554323,2
Candelario Medhurst,57119.5948349,1
Alycia Howell,106265.405327,2
Mariela Willms,40028.1795301,2
Eloy Bahringer,82292.7638093,5
Ernestina Goodwin,33469.7240348,2
Pablo Nolan,46622.8444789,3
Ruthie Ullrich,38104.1803361,3
Kayla Konopelski,44916.0794304,0
Emelie Lang,50534.9872652,3
Madaline Moen,42493.9796518,5
Zane Haley,54024.4229016,2
Suzanne Lowe,73480.4722709,4
Alanna Reilly,93250.394154,2
Brett O'Reilly,55517.3740225,4
Durward Zieme,65247.5009683,4
Jamie Trantow,37247.5612707,2
Bartholome Deckow,24739.8679125,2
Laisha Schiller,67366.3345475,5
Jazmyne Blanda,58555.4997437,1
Salvatore Rosenbaum,50953.596111,2
Kris Batz,66198.3143386,4
Lela Kuhn,44016.7429821,5
Ariane Okuneva,27103.2660775,2
Sadye Rodriguez,22454.2835427,6
Deondre Steuber,68644.8006723,2
Wade Russel,20004.176794,1
Nelle Treutel,68931.4157868,5
Austin McDermott,56125.2240767,2
Kiera Walsh,65786.917607,3
Eric O'Hara,40879.998423,3
Joana Dach,51920.6751079,1
Louie Watsica,59340.9301157,4
Donald Stracke,48619.6058515,5
Elena Russel,44707.2667891,3
Rodrigo Lang,61249.0299404,3
Audreanne Zieme,5389.99708484,3
Paris Lindgren,88984.3080172,2
Jackson Skiles,50062.057732,2
Maegan Batz,44392.079294,3
Emerson Bergstrom,52261.8282103,5
Jadyn Feeney,60009.113301,0
Gonzalo Hahn,46517.5220716,6
Lavina Beer,46979.0480308,1
Sanford Gibson,39789.2550585,3
Reymundo Larson,64031.7427181,6
Arno Hartmann,59953.6194307,1
Darrin Larkin,34768.317119,2
Omari Weber,16009.8313838,4
Janiya Ullrich,98009.3934554,3
Davonte O'Hara,55695.2077586,3
Matilda Zboncak,42611.4731476,4
Josiane Hickle,75516.6107366,2
Cole Block,79020.4539645,4
Braulio Mueller,74643.9174256,4
Zoie Friesen,56416.4403042,3
Molly Bogan,56209.6116774,2
Kaylee Wuckert,51997.1079813,2
Allan Bahringer,47387.0255898,8
Emerald Conn,55544.870163,4
Haven Streich,48043.0074411,2
Rey Gerhold,33687.3373422,3
Adele Hagenes,64490.2351339,3
Billy Blanda,38928.7285301,2
Mara Braun,46655.3756048,2
Cindy Schinner,40348.2627547,2
Leda Stroman,56595.9974249,4
Keith Volkman,49440.2197186,2
Austin Cormier,16924.4501836,6
Corine O'Hara,10142.6033144,1
Rosie Stracke,55776.6835525,2
Mauricio Ritchie,71407.2059378,3
Cyrus Abshire,86632.9340122,3
Howard Walsh,43021.9376717,3
Eryn Lockman,53711.6585804,3
Ole Funk,48553.3999814,1
Berry Ullrich,59363.5135985,3
Jack Rowe,44703.2702582,4
Rebekah Lockman,50733.0763153,1
Theresia Fritsch,60837.6864415,4
Brain Kling,44678.7326947,2
Juvenal Daniel,63440.5480215,5
Rocio Runte,67779.2047588,2
Kattie Rau,60889.091736,1
Webster Morar,69637.9230125,4
Noemie Pfannerstill,47820.0902819,3
Garret Bins,72728.0554622,6
Ludie Huels,39160.9438304,2
Thad Lowe,82610.8680742,5
Ladarius Strosin,45572.3215708,5
Keanu Schmidt,49674.3161027,3
Krista Murazik,82212.5012428,5
Savanna Littel,24388.2993413,2
Barrett Gleason,43292.4622525,3
Javier Dicki,33279.0785117,4
William Howe,100615.716127,2
Nikita Boyer,49798.7474343,1
Donavon Rau,72354.3606668,2
Sheldon Harris,82000.58268,1
Mortimer Wunsch,62642.4824947,4
Abigale Greenholt,33278.566883,1
Corine Greenfelder,44749.975125,1
Caden Schmitt,54405.6300503,2
Nils Murray,69266.1507961,1
Naomie Deckow,67472.7771146,1
Chad Padberg,51600.7227204,4
Ferne Paucek,86081.1428319,2
Sandy Maggio,50815.5871406,3
Rodrigo Stracke,50500.7736249,1
Darrin Goodwin,61089.7552534,9
Savannah Flatley,61957.4657158,2
Giovanna Ondricka,64211.7439348,5
Jayde Beier,76201.080124,3
Travis Muller,25983.0022227,3
